text,publication,
"AMAZON BETS ON RIVIAN: In its first big electric vehicle investment, Amazon is leading a round of fundraising by pickup and SUV startup Rivian. Amazon's specific contribution to the $700 million round wasn't revealed in Rivian's announcement of the deal Friday. It is the second auto-related investment this month for the online retail and technology giant; Amazon took part in a $530 million funding round for Silicon Valley-based driverless-vehicle technology startup Aurora. Expected to go on sale within two years, the R1T truck and R1S SUV would have a base price in the mid-$60,000s.",San Diego Union Tribune,16-Feb
,San Diego Union Tribune,16-Feb
"SOYBEAN EXPORTS WILL REMAIN LOW: U.S. soybean exports won't return to their pre-trade war levels until the 2026-27 season as competitors in South America gain global market share. That's according to projections released Thursday by the U.S. Department of Agriculture. Demand for American soy has taken a hit after China slapped tariffs on a host of U.S. farm goods as part of the nations' trade war. While China has recently resumed buying U.S. soybeans, that hasn't moved prices much. Soybean futures traded in Chicago are down about 12 percent in the last year.",San Diego Union Tribune,16-Feb
,San Diego Union Tribune,16-Feb
Digits,San Diego Union Tribune,16-Feb
,San Diego Union Tribune,16-Feb
11%,San Diego Union Tribune,16-Feb
,San Diego Union Tribune,16-Feb
Increase in the Dow year to date.,San Diego Union Tribune,16-Feb
,,
,,
"Wall Street capped another day of listless trading Wednesday with a slight gain, extending the market's winning streak to a third day. The benchmark S&P 500 index, which has risen for the past three weeks, gained 4.94 points, or 0.2 percent, to 2,784.70. The Dow Jones Industrial Average added 63.12 points, or 0.2 percent, to 25,954.44. The Nasdaq composite rose...",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
Stocks have modest gains on listless day of trading,Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"Wall Street capped another day of listless trading Wednesday with a slight gain, extending the market's winning streak to a third day.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"The benchmark S&P 500 index, which has risen for the past three weeks, gained 4.94 points, or 0.2 percent, to 2,784.70. The Dow Jones Industrial Average added 63.12 points, or 0.2 percent, to 25,954.44.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"The Nasdaq composite rose 2.30 points, or 0.03 percent, to 7,489.07. The Russell 2000 index of smaller companies picked up 7.19 points, or 0.5 percent, to 1,581.66.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"CVS Health slumped 8.1 percent after the pharmacy operator issued a 2019 outlook that fell short of analysts' estimates. CEO Larry Merlo said in a prepared statement that 2019 would be ""a year of transition"" as the company integrates the health insurer Aetna, which it purchased in a roughly $69 billion deal last year. A federal judge is still evaluating the acquisition.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"U.S. benchmark crude rose 1.5 percent to settle at $56.92 a barrel in New York. Brent crude, the standard for international oil prices, gained 0.9 percent to close at $67.08 a barrel in London.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
Bond prices fell. The yield on the 10-year Treasury note rose to 2.65 percent from 2.64 percent late Tuesday.,Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
Musk missteps dredged up with Tesla lawyer's exit,Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
The miscues that made 2018 an agonizing year for Elon Musk are back.,Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"Tesla announced Wednesday that its general counsel was leaving, two months after hiring him in the wake of Musk's run-in with U.S. securities regulators. Hours before that news, the chief executive officer was sending tweets reminiscent of those that put him and the company in legal jeopardy last year.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"Dane Butswinkas, the trial lawyer who represented Musk in his legal battle with the U.S. Securities and Exchange Commission, is leaving due to a poor cultural fit at Tesla and the desire to return full-time to his trial practice at the firm Williams & Connolly in Washington. Jonathan Chang, a vice president in Tesla's legal department, is taking over effective immediately.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"The departure came on the heels of a production projection Musk tweeted, then backtracked from, late Tuesday. The developments renew concerns about retention of key executives and the CEO's social media habits; issues that distracted from Tesla's manufacturing achievements in 2018.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
Tesla's stock traded down 1 percent to $302.56.,Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"Payless to honor gift cards, store credit into March",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
The failing Payless ShoeSource chain will honor gift cards and store credit until March 11 as the company liquidates all operations.,Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"The Topeka, Kansas, company, which filed for bankruptcy protection this week, will allow returns and exchanges of non-final sale items through the end of this month for goods bought before Sunday.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"Payless said Wednesday that it received court approval to support the orderly closing of about 2,500 stores in the U.S., Puerto Rico and Canada, as well as its e-commerce business. It also received authorization to pay employee wages and benefits, as well as claims from critical vendors.",Long Beach Press Telegram,21-Feb
,Long Beach Press Telegram,21-Feb
"Retail operations outside of North America, including company-owned stores in Latin America, are separate entities and are not included in the filing.",Long Beach Press Telegram,21-Feb
"Payless ShoeSource, a once-popular seller of inexpensive women’s footwear and a staple in many suburban shopping malls, is closing all of its American stores.",NYT,19-Feb
,NYT,19-Feb
"The company said on Saturday that it would begin liquidating all 2,100 of its stores in the United States, including Puerto Rico. Payless is also winding down its online business.",NYT,19-Feb
,NYT,19-Feb
"The retailer, which filed for bankruptcy two years ago, had already closed hundreds of stores in recent years as its brand lost luster among women searching for deals on shoes. It is the latest mass-market retailer to vanish from the retail landscape.",NYT,19-Feb
,NYT,19-Feb
"The liquidation of Payless, based in Topeka, Kan., is another example of how bankruptcy has helped retailers shed their debt, but it has not helped many of them restructure their businesses and regain sales.",NYT,19-Feb
"Toys “R” Us and Bon-Ton, a department store chain, liquidated last summer, after failing to come up viable reorganization plans. Sears narrowly escaped liquidation this month after a judge allowed its chairman and largest lender, the hedge fund manager Edward S. Lampert, to buy the company and keep its stores open.",NYT,19-Feb
,NYT,19-Feb
"The Payless liquidation comes as more people are opting to shop online rather than in stores, which were at the core of the shoe company’s strategy. But e-commerce explains only part of Payless’s challenges. While Payless struggled to stay relevant with shoppers, other retailers catering to bargain conscious shoppers, like TJ Maxx and Nordstrom Rack, are thriving.",NYT,19-Feb
,NYT,19-Feb
"Keeping up with emerging fashion trends and creating attractive stores requires constant investment, which was a challenge for Payless. Some of the company’s stores have also been hurt by their location in struggling suburban malls that are anchored by Sears and J. C. Penney, another listing retailer. As hundreds of those anchor stores have closed, traffic to nearby retailers in the malls has slowed.",NYT,19-Feb
,NYT,19-Feb
"A Payless spokeswoman said that liquidation sales would start on Sunday and that the stores would remain open through the end of March, with many open until May.",NYT,19-Feb
"(Reuters) - U.S. discount retailer Payless ShoeSource Inc on Monday filed for voluntary Chapter 11 bankruptcy protection for the second time, along with its North American subsidiaries, and said it would wind down all North American stores by the end of May.",Reuters,19-Feb
,Reuters,19-Feb
"The retailer will close about 2,500 stores in North America starting from the end of March and wind down its e-commerce operations.",Reuters,19-Feb
,Reuters,19-Feb
Reuters had reported last week that the company was planning to close its stores when it files for bankruptcy for the second time in as many years.,Reuters,19-Feb
,Reuters,19-Feb
"""The prior proceedings left the company with too much remaining debt, too large a store footprint and a yet-to-be realized systems and corporate overhead structure consolidation,"" Chief Restructuring Officer Stephen Marotta said.",Reuters,19-Feb
"Stores outside North America were not included in the Chapter 11 filing and will continue operations, the retailer added.",Reuters,19-Feb
,Reuters,19-Feb
Payless said it intends to seek protection for its Canadian subsidiaries under the Companies' Creditors Arrangement Act (CCAA) in the Ontario Superior Court of Justice.,Reuters,19-Feb
,Reuters,19-Feb
"The company exited bankruptcy in 2017 with about $400 million in loans, after slashing its debt pile from over $800 million, according to court papers.",Reuters,19-Feb
,Reuters,19-Feb
"The move makes Payless one of the most high-profile victims of the string of bankruptcies that have hit the brick-and-mortar retail sector as more shopping is done online. Toys ""R"" Us and The Bon-Ton Stores are among the retailers that shut their stores in liquidations in the last 12 months.",Reuters,19-Feb
,Reuters,19-Feb
Payless listed both assets and liabilities in a range of $500 million to $1 billion in a filing in the U.S. Bankruptcy Court for the Eastern District of Missouri.,Reuters,19-Feb
"Payless ShoeSource has filed for bankruptcy and is closing all its US stores — 2,500 across the country and in Puerto Rico.",Vox,19-Feb
,Vox,19-Feb
"The company confirmed the news to CNN Business on Friday and announced the closures on Saturday. Liquidation sales began the following day and will continue through May, a spokesperson told CNN, though some stores will begin closing in March. Payless filed for bankruptcy on Monday night, CNBC reports, and has approximately $470 million in outstanding debt.",Vox,19-Feb
,Vox,19-Feb
"There are several reasons for Payless’s demise. As the New York Times notes, brick-and-mortar stores were the core of Payless’s strategy, which may have hurt sales now that a growing number of customers prefer to shop online. (It’s worth noting that in addition to closing its physical storefronts, Payless is shutting down its online store.)",Vox,19-Feb
,Vox,19-Feb
"The shuttering of mall department stores across the country also hurt Payless — these bigger retailers serve as “anchor stores” that drive people to malls and other shopping centers, and closing them hurts foot traffic for smaller stores with more specific offerings like Payless.",Vox,19-Feb
,Vox,19-Feb
"The discount shoe retailer also had trouble competing with other bargain stores, especially those that sell marked-down versions of pricey name brands, as well as with Amazon and Zappos. It made some questionable moves to stay relevant, including orchestrating a hoax where it anonymously invited influencers to the launch of Palessi, a faux-luxury store that carried Payless shoes.",Vox,19-Feb
,Vox,19-Feb
"“The challenges facing retailers today are well documented, and unfortunately Payless emerged from its prior reorganization ill-equipped to survive in today’s retail environment,” Payless’s chief restructuring officer Stephen Marotta told CNBC in a statement.",Vox,19-Feb
,Vox,19-Feb
"This isn’t the first time the discount shoe retailer has attempted to restructure its debts. Payless previously filed for bankruptcy in April 2017 and closed 400 stores in the process, but that move wasn’t enough to save the company from its dire financial situation. “The prior proceedings left the company with too much remaining debt, too large a store footprint, and a yet-to-be-realized systems and corporate overhead structure consolidation,” Marotta told CNBC. Those proceedings, he said, were the result of an “antiquated” inventory system and strikes that delayed shipments before crucial holidays like Easter. More recently, the company claims it has faced “unanticipated” delays from its suppliers, which have contributed to its financial problems. CNBC reports that Payless lost $63 million in 2018 and $4 million the previous year.",Vox,19-Feb
,Vox,19-Feb
"Payless is the latest in a series of retailers, including Toys R Us and Sears, that have turned to bankruptcy and liquidation in an attempt to reduce debt. both Toys R Us ended up liquidating anyway; Sears, meanwhile, was saved from liquidation by its former CEO, billionaire Eddie Lampert, whose mismanagement of the company was one of the main factors that led to its near-insolvency.",Vox,19-Feb
,Vox,19-Feb
"Payless won’t be closing all its stores, though: A spokesperson told CNN Business that its international franchises and Latin American stores won’t be affected. If you live in the US, the next few months may be your last chance to grab a pair of Payless shoes. Unless you feel like catching an international flight, that is.",Vox,19-Feb
"Several national news outlets, including the New York Times and the Los Angeles Times, are reporting that Payless ShoeSource Inc. will file for a second bankruptcy and plans to close all its U.S. stores.",Duluth News Tribune,18-Feb
,Duluth News Tribune,18-Feb
"A manager at the Miller Hill Mall Payless shoe store in Duluth referred questions about the fate of the operation to corporate headquarters. But calls and emails to the Topeka, Kans.- based company have gone unanswered.",Duluth News Tribune,18-Feb
,Duluth News Tribune,18-Feb
"Signs at the Miller Hill Mall Payless store have been posted, saying: “Everything must go.” and “All sales final.”",Duluth News Tribune,18-Feb
,Duluth News Tribune,18-Feb
Payless ShoeSource filed for Chapter 11 bankruptcy in April 2017 and closed hundreds of stores as it attempted reorganize and shed debt.,Duluth News Tribune,18-Feb
,Duluth News Tribune,18-Feb
"A group of creditors, including Alden Global Capital LLC, assumed ownership of the downsized discount shoe retailer, but with no buyer emerging, the group began efforts to liquidate the chain’s inventory this past weekend.",Duluth News Tribune,18-Feb
,Duluth News Tribune,18-Feb
"Payless was founded in 1956, and as of January, it had about about 3,600 bricks-and-mortar stores worldwide, including about 2,300 in the U.S., operating in all 50 states.",Duluth News Tribune,18-Feb
"Payless ShoeSource is closing all of its 2,100 remaining stores in the U.S., joining a list of iconic names such as Toys R Us and Bon-Ton that have shut down in the last year.",AP,15-Feb
"The Topeka, Kan.-based chain said Friday that it will hold liquidation sales starting Sunday and wind down its e-commerce operations. All of the stores will remain open until at least the end of March, and the majority will remain open until May.",AP,15-Feb
"The debt-burdened chain filed for Chapter 11 bankruptcy protection in April 2017, closing hundreds of stores as part of its reorganization.",AP,15-Feb
"At the time, it had over 4,400 stores in more than 30 countries. It reemerged from restructuring four months later with about 3,500 stores and eliminated more than $435 million in debt.",AP,15-Feb
"The company said in an email that the liquidation doesn't affect its franchise operations or its Latin American stores, which remain open for business as usual. The company’s stores in Puerto Rico, however, will close. Payless lists 18,000 employees worldwide.",AP,15-Feb
"Shoppers are increasingly shifting their buying online or heading to discount stores such as T.J. Maxx to grab deals on name-brand shoes. That shift has hurt traditional retailers, even low-price outlets such as Payless. Heavy debt loads have also handcuffed retailers, leaving them less flexible to invest in their businesses.",AP,15-Feb
"But bankruptcies and store closures will continue through 2019, so there's “no light at the end of the tunnel,” according to a report by Coresight Research.",AP,15-Feb
"Before this announcement, there had been 2,187 U.S. store closing announcements this year, with Gymboree and Ascena Retail, the parent of Lane Bryant and other brands, accounting for more than half the total, according to the research firm. This year's total is up 23% from the 1,776 announcements a year ago. Year-to-date, retailers have announced 1,411 store openings, offsetting 65% of store closures, it said.",AP,15-Feb
"Payless was founded in 1956 by two cousins, Louis and Shaol Lee Pozez, to offer self-service stores selling affordable footwear.",AP,15-Feb
"Payless Inc. and its North American subsidiaries filed for bankruptcy protection, with the discount shoe retailer saying it plans to close its 2,500 stores in North America by the end of May.",Bloomberg,19-Feb
"The company, which is taking its second trip to Bankruptcy Court in two years, said retail operations outside North America, including company-owned stores in Latin America, aren’t included in the Chapter 11 filing and will continue business as usual. The company, which sought relief in the U.S. Bankruptcy Court for the Eastern District of Missouri, said last weekthat it would begin liquidation sales and shut down its online operations.",Bloomberg,19-Feb
"“The challenges facing retailers today are well documented, and unfortunately Payless emerged from its prior reorganization ill-equipped to survive in today’s retail environment,” Stephen Marotta, appointed in January to serve as chief restructuring officer, said in a statement Monday. “The prior proceedings left the company with too much remaining debt, too large a store footprint.”",Bloomberg,19-Feb
"The Topeka, Kan.-based retailer joins heavily indebted store chains that have gone under in the last two years, including iconic names such as Toys R Us. Retailers including Shopko, FullBeauty Brands, Charlotte Russe, Things Remembered and Gymboree have filed for bankruptcy this year. U.S. retailers have been struggling to navigate changing consumer habits, including a shift to online shopping and fewer visits to the mall.",Bloomberg,19-Feb
"Payless was founded in 1956 with the goal of selling affordable shoes in a self-service setting and says it’s the largest specialty footwear chain in the Western Hemisphere. The company struggled to manage debt taken on in a 2012 leveraged buyout by Golden Gate Capital and Blum Capital Partners, filing for bankruptcy protection in April 2017.",Bloomberg,19-Feb
"Payless has estimated liabilities of $500 million to $1 billion, according to a separate court filing.",Bloomberg,19-Feb
"Certain Canadian subsidiaries of Payless will also seek creditor protection, according to the company. In addition to its Latin America stores, about 370 international franchisee stores in 16 countries across the Middle East, India, Indonesia, Indochina, Philippines and Africa will continue to operate as usual.",Bloomberg,19-Feb
"Strangled by debt and new rivals, discount shoe chain Payless ShoeSource Inc. is closing its roughly 2,100 U.S. locations in what is likely to be the largest-ever retailer liquidation by number of stores.",WSJ,16-Jan
"The chain is preparing to file for bankruptcy protection, according to people familiar with the matter, less than two years after its previous restructuring, when it shut approximately 500 locations. The retailer, taken private in 2012 in a $2 billion leveraged buyout, has been hit by declining sales.",WSJ,16-Jan
"The company, which employs roughly 18,000 people world-wide, said Friday that it would begin liquidation sales at its U.S. and Puerto Rico stores on Sunday and that it is winding down its e-commerce operations. ""We expect all stores to remain open until the end of March, and the majority will remain open until May,"" a spokesman said.",WSJ,16-Jan
"The mall fixture, which has more than 3,400 locations globally, said its international business isn't affected. Payless has hundreds of stores in Canada and Latin America, as well as franchised locations in dozens of countries.",WSJ,16-Jan
"The Topeka, Kan.-based company's balance-sheet restructuring and limited number of store closures in its previous trip through chapter 11 weren't sufficient to allow it to turn around the business after exiting bankruptcy protection in the summer of 2017, the people said.",WSJ,16-Jan
"Payless and other traditional retail chains have struggled in recent years as people do more of their shopping online, visit shopping malls less frequently and use smartphones to check prices.",WSJ,16-Jan
"In addition to fellow specialty chains like DSW Inc. and mass merchants like Walmart Inc. and Kohl's Corp., Payless has faced competition from online entrants like Zappos, which is owned by Amazon.com Inc.",WSJ,16-Jan
"Payless, founded in 1956, is known for its ""Buy One, Get One Free"" sales and other discounted shoes. At its peak, in the 1990s, the company sold 250 million pairs of shoes a year, according to one of the people familiar with the situation, who estimated that Payless has since lost two-thirds of its share of the U.S. market.",WSJ,16-Jan
"The potential liquidation would come after strong U.S. employment and consumer spending gave a boost to many chains. The year ended with a weak reading on holiday shopping, however.",WSJ,16-Jan
"Sales at stores, restaurants and online fell a seasonally adjusted 1.2% in December from November, according to a government report this week, the biggest monthly drop since September 2009.",WSJ,16-Jan
"The National Retail Federation blamed the lower than expected sales gains on disruptions caused by a trade fight between the U.S. and China, as well as on a stock market selloff. The trade group on Thursday said holiday sales rose 2.9%, less than its prediction of a gain between 4.3% and 4.8%.",WSJ,16-Jan
"Other retailers have been under pressure too, and dozens have filed for bankruptcy since 2016, leading to thousands of store closures in the U.S. Since the beginning of 2019 alone, four notable chains have entered bankruptcy: Gymboree Group Inc., Things Remembered, Charlotte Russe Holdings Corp., and FullBeauty Brands Inc.",WSJ,16-Jan
"Gymboree, like Payless will be, sought chapter 11 protection for a second time—known in bankruptcy circles as chapter 22—with a plan to liquidate its assets. The children's apparel retailer now plans to close more than 600 stores.",WSJ,16-Jan
"In recent months, Payless has been working with financial advisory firm PJ Solomon to explore its options, including a sale of the company, one of the people said.",WSJ,16-Jan
"When the search proved unsuccessful, Payless shifted gears to a second bankruptcy filing and store closures, the person said. Reuters earlier reported Payless's impending bankruptcy filing and store closures.",WSJ,16-Jan
"The company has suffered from inconsistent pricing in recent years, one of the people familiar with the situation said.",WSJ,16-Jan
"At one point, the chain lowered prices, which placed it in more direct competition with Walmart. Last year, it opened a fake luxury boutique in California called ""Palessi"" that sold shoes typically priced below $40 for $200 and up.",WSJ,16-Jan
"During its first bankruptcy filing, Payless eliminated debt from its balance sheet by giving lenders equity stakes in the company in exchange for debt forgiveness. Senior lenders received a 91% equity stake in the reorganized company, while junior lenders received the remaining stake.",WSJ,16-Jan
"Payless's ownership group includes Alden Global Capital LLC, Invesco, and Octagon Credit Investors LLC, according to its website.",WSJ,16-Jan
"Payless ShoeSource (“Payless” or the ""Company"") today announced that the Company and its North American subsidiaries have voluntarily filed for relief under Chapter 11 of the Bankruptcy Code (“Chapter 11”) in the U.S. Bankruptcy Court for the Eastern District of Missouri (the “U.S. Bankruptcy Court”). Certain Payless Canadian subsidiaries (“Payless Canada”) will also be seeking protection pursuant to the Companies' Creditors Arrangement Act (the “CCAA”) in the Ontario Superior Court of Justice (Commercial List) (“Canadian Court”).",Business Wire,19-Feb
"Payless intends to use these proceedings to facilitate a wind-down of its approximately 2,500 store locations in North America and its e-commerce operations. The Company expects that Payless store closings will begin at the end of March and many stores will remain open through the end of May, as it conducts liquidation sales in the U.S. and Canada. Payless has also wound down its e-commerce operations.",Business Wire,19-Feb
"Payless’ retail operations outside of North America, including its company-owned stores in Latin America, are separate legal entities and are not included in the Chapter 11 or CCAA filings. Payless’ 420 stores across 20 countries in Latin America, its stores in the U.S. Virgin Islands, Guam and Saipan, and its 370 international franchisee stores in 16 countries across the Middle East, India, Indonesia, Indochina, Philippines and Africa, will continue operating business as usual in every respect.",Business Wire,19-Feb
"Stephen Marotta, appointed in January 2019 to serve as Chief Restructuring Officer of Payless, said, ""We have worked diligently with our suppliers and other partners to best position Payless for the future amidst significant structural, operational, and market challenges. Despite these efforts, we now must wind down our North American retail operations under Chapter 11 and the CCAA. However, Payless’ profitable stores throughout Latin America, which are not part of today’s filing, and our international franchisees’ stores will continue to operate business as usual in every respect. As we move through the process, we will work to minimize the impact on our employees, customers, vendors and other stakeholders.",Business Wire,19-Feb
"“The challenges facing retailers today are well documented, and unfortunately Payless emerged from its prior reorganization ill-equipped to survive in today’s retail environment. The prior proceedings left the Company with too much remaining debt, too large a store footprint and a yet-to-be realized systems and corporate overhead structure consolidation. As a consequence, despite our substantial efforts, we were ultimately unable to operate the North American retail and e-commerce operations on a sustainable basis.”",Business Wire,19-Feb
"Mr. Marotta continued, ""On behalf of the entire company, I’d like to express our deep appreciation for the hard work of our dedicated employees and their commitment to Payless customers, who have shown us tremendous loyalty for more than 60 years. We are also grateful for the many years of support by our suppliers and vendors, and we look forward to continuing to work with them to support our remaining operations.""",Business Wire,19-Feb
"The Company will provide a more detailed update on plans for the orderly wind-down of its North American retail operations, including store closing sales, as the Court-supervised process progresses.",Business Wire,19-Feb
"Payless is seeking customary initial relief from the U.S. Bankruptcy Court and Canadian Court, including authorization to support its operations during the process, authorization to continue payment of employee wages and maintain healthcare benefits and certain other relief customary in these circumstances. The Company is seeking authorization from the U.S. Bankruptcy Court to continue to honor customer gift cards and store credit until March 11, 2019, and to continue to allow returns and exchanges of applicable non-final sale purchases made prior to February 17, 2019, until March 1, 2019. A similar request will be made in the Canadian Court. Payless has discontinued its Rewards programs and any outstanding merchandise coupons in North America, effective immediately.",Business Wire,19-Feb
"Additional information regarding Payless’ Chapter 11 filing will be available at www.payless.com/restructure. Court filings and information about the claims process are available at http://cases.primeclerk.com/pss. Questions should be directed to the Company's claims agent, Prime Clerk, at +1 917-877-5967 (toll) or +1 844-339-4268 (U.S. / Canada toll-free) or by email to pssinfo@primeclerk.com.",Business Wire,19-Feb
"Additional information regarding the CCAA filing in Canada will be available on the website of the proposed Monitor, FTI Consulting Canada Inc., once the Monitor has been appointed: http://cfcanada.fticonsulting.com/paylesscanada. The proposed Monitor will establish, once appointed, an information hotline related to enquiries regarding the CCAA process at +1 855-718-5255.",Business Wire,19-Feb
Akin Gump Strauss Hauer & Feld LLP and Armstrong Teasdale LLP are serving as the Company's legal counsel and Cassels Brock & Blackwell LLP is serving as Payless Canada’s counsel. Ankura Consulting Group is serving as the Company’s restructuring advisor. PJ SOLOMON is serving as financial advisor to the Company. A&G Realty Partners is serving as real estate consultant to the Company.,Business Wire,19-Feb
About Payless,Business Wire,19-Feb
"Founded in 1956, today Payless serves millions of customers through its extensive global network spanning 36 countries worldwide. Payless has 420 stores in Latin America, the U.S. Virgin Islands, Guam and Saipan, and 370 international franchisee stores across the Middle East, India, Indonesia, Indochina, Philippines and Africa.",Business Wire,19-Feb
"Feb. 19--Payless ShoeSource filed for bankruptcy on Monday and said it will close 2,500 stores in North America, up from 2,100 previously reported. Store liquidation plans remain the same with some locations closing in March and most stores remaining open until May.",Dallas Morning News,19-Feb
Original story published Friday. Feb. 15.,Dallas Morning News,19-Feb
"Payless ShoeSource confirmed reports Friday that it's closing its 2,100 stores in the U.S., including locations in Puerto Rico.",Dallas Morning News,19-Feb
"The retailer, which was founded in 1956 in Topeka, Kan., said liquidation sales will start on Sunday and that its e-commerce operations are ""winding down.""",Dallas Morning News,19-Feb
There are 44 stores Payless stores in the Dallas-Fort Worth area.,Dallas Morning News,19-Feb
The company's spokeswoman wouldn't address reports quoting sources that Payless will file for bankruptcy less than two years after emerging from a court-protected reorganization.,Dallas Morning News,19-Feb
"During its 2017 bankruptcy, Payless closed more than 2,000 stores. Since then, Payless has been owned by private equity firms Alden Global Capital, Invesco Senior Secured Management and Octagon Credit Investors.",Dallas Morning News,19-Feb
"Payless said all stores will remain open until at least the end of March, and most will remain open until May. The company's website says it has 18,000 employees.",Dallas Morning News,19-Feb
"""This process does not affect the company's franchise operations in Latin America, which remain open for business as usual,"" the company said.",Dallas Morning News,19-Feb
"Last May, Payless moved most of its corporate staff from Topeka to a downtown Dallas office tower, but the spokeswoman said the headquarters wasn't officially changed.",Dallas Morning News,19-Feb
Twitter: @MariaHalkias,Dallas Morning News,19-Feb
